name,inchikey
3-Hydroxyphenylvaleric acid,WAHBMDYPOIEGOQ-UHFFFAOYSA-N
"4-Hydroxy-(3',4'-dihydroxyphenyl)valeric acid",JDBYFCLHVYVXCX-UHFFFAOYSA-N
"5-(3',4',-dihydroxyphenyl)-γ-valerolactone",ZNXXWTPQHVLMQT-UHFFFAOYSA-N
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone",CZVAQLJEUUFQCH-UHFFFAOYSA-N
"5-(3',4'-dihydroxyphenyl)-valeric acid",KTDWBJGUMIZRHU-UHFFFAOYSA-N
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone",WAKFBGOXOFLZLZ-UHFFFAOYSA-N
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone 3-O-glucuronide",RUSMDDXSDLDLKU-PHPHFFAHSA-N
5-(3'-Methoxy-4'-hydroxyphenyl)-γ-valerolactone,GCIFEQYZDROELP-UHFFFAOYSA-N
"3,4-Dihydroxyphenyllactic acid methyl ester",NMAOZVAEJYOPOF-UHFFFAOYSA-N
"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid",YNFNAIPTIVRKBR-UHFFFAOYSA-N
3-Hydroxy-3-(3-hydroxyphenyl)propionic acid,KHTAGVZHYUZYMF-UHFFFAOYSA-N
3-Hydroxy-4-methoxyphenyllactic acid,UIQJPTIJLALAGB-UHFFFAOYSA-N
3-Hydroxyphenylpropionic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N
3-Methoxy-4-hydroxyphenyllactic acid,SVYIZYRTOYHQRE-UHFFFAOYSA-N
3-Phenylpropionic acid,XMIIGOLPHOKFCH-UHFFFAOYSA-N
4-Hydroxyphenyl-2-propionic acid,ZHMMPVANGNPCBW-UHFFFAOYSA-N
Danshensu,PAFLSMZLRSPALU-UHFFFAOYSA-N
Dihydrocaffeic acid,DZAUWHJDUNRCTF-UHFFFAOYSA-N
Dihydrocaffeic acid 3-O-glucuronide,AELQNMHOLDHBFA-UHFFFAOYSA-N
Dihydrocaffeic acid 3-sulfate,MIMULQQHBAZGER-UHFFFAOYSA-N
Dihydroferulic acid,BOLQJTPHPSDZHR-UHFFFAOYSA-N
Dihydroferulic acid 4-O-glucuronide,KYERCTIKYSSKPA-UHFFFAOYSA-N
Dihydroferulic acid 4-sulfate,UMCDODPBPQMWQP-UHFFFAOYSA-N
Dihydroferuloylglycine,YCUOBBBUKFJPOD-UHFFFAOYSA-N
Dihydrosinapic acid,BPPVOXVSMSXBEI-UHFFFAOYSA-N
"3'-Hydroxy-3,4,5,4'-tetramethoxystilbene",DLSNLGWOPCTNJJ-UHFFFAOYSA-N
"3,4,5,4'-Tetramethoxystilbene",GGFQQRXTLIJXNY-UHFFFAOYSA-N
"4'-Hydroxy-3,4,5-trimethoxystilbene",PGNACKMMQGBVTN-UHFFFAOYSA-N
"4-Hydroxy-3,5,4'-trimethoxystilbene",KRJGXNAUJLJILU-UHFFFAOYSA-N
cis-Resveratrol 3-O-glucuronide,QWSAYEBSTMCFKY-UHFFFAOYSA-N
cis-Resveratrol 3-sulfate,DULQFFCIVGYOFH-UHFFFAOYSA-N
cis-Resveratrol 4'-O-glucuronide,CDEBVTGYVFHDMA-UHFFFAOYSA-N
cis-Resveratrol 4'-sulfate,KOTTWDFKZULRPN-UHFFFAOYSA-N
Dihydroresveratrol,HITJFUSPLYBJPE-UHFFFAOYSA-N
Resveratrol,LUKBXSAWLPMMSZ-UHFFFAOYSA-N
Resveratrol 3-sulfate,DULQFFCIVGYOFH-UHFFFAOYSA-N
Trans-Resveratrol,LUKBXSAWLPMMSZ-UHFFFAOYSA-N
"trans-Resveratrol 3,4'-disulfate",DHYDAGFKCXRMSL-UHFFFAOYSA-N
"trans-Resveratrol 3,5-disulfate",AUJFEUYHBMJMOQ-UHFFFAOYSA-N
trans-Resveratrol 3-O-glucuronide,QWSAYEBSTMCFKY-UHFFFAOYSA-N
trans-Resveratrol 3-sulfate,DULQFFCIVGYOFH-OWOJBTEDSA-N
trans-Resveratrol 4'-O-glucuronide,CDEBVTGYVFHDMA-UHFFFAOYSA-N
trans-Resveratrol 4'-sulfate,KOTTWDFKZULRPN-UHFFFAOYSA-N
