name,inchikey
4'-O-Methyl-(-)-epigallocatechin 3'-O-glucuronide,DAQFRQALPPBZDR-UHFFFAOYSA-N
4'-O-Methyl-(-)-epigallocatechin 7-O-glucuronide,DIBOSYWBDWWWDM-UHFFFAOYSA-N
4'-O-Methylepicatechin,ZHDMPVIDHWJGTN-CZUORRHYSA-N
4'-O-Methylepigallocatechin,ITDYPNOEEHONAH-UHFFFAOYSA-N
Epicatechin 3'-O-glucuronide,BUONZQIZWIITTB-UHFFFAOYSA-N
Epicatechin 7-O-glucuronide,FDWDKTKDGDLDTP-UHFFFAOYSA-N
Epigallocatechin 3-O-gallate-7-O-glucoside-4''-O-glucuronide,MEJVQGMMZHEGNA-GIVLKYJESA-N
Procyanidin dimer B1,XFZJEEAOWLFHDH-UHFFFAOYSA-N
Procyanidin dimer B2,XFZJEEAOWLFHDH-UHFFFAOYSA-N
Procyanidin dimer B3,XFZJEEAOWLFHDH-UHFFFAOYSA-N
Procyanidin dimer B4,XFZJEEAOWLFHDH-UHFFFAOYSA-N
Theaflavin,IPMYMEWFZKHGAX-UHFFFAOYSA-N
Eriodictyol,SBHXYTNGIZCORC-UHFFFAOYSA-N
Hesperetin,AIONOLUJZLIMTK-UHFFFAOYSA-N
"Hesperetin 3',7-O-diglucuronide",DRQALSJOSDMKCR-UHFFFAOYSA-N
Hesperetin 3'-O-glucuronide,PJAUEKWZQWLQSU-UHFFFAOYSA-N
Hesperetin 3'-sulfate,AXWNOFHBYPBYNO-UHFFFAOYSA-N
"Hesperetin 5,7-O-diglucuronide",DDHZYRQUEFLRIC-UHFFFAOYSA-N
Hesperetin 7-O-glucuronide,NEAWXAXVQDDFJL-UHFFFAOYSA-N
Hesperidin,QUQPHWDTPGMPEX-UHFFFAOYSA-N
Homoeriodictyol,FTODBIPDTXRIGS-UHFFFAOYSA-N
Isosakuranetin,HMUJXQRRKBLVOO-UHFFFAOYSA-N
Naringenin,FTVWIRXFELQLPI-UHFFFAOYSA-N
Naringenin 4'-O-glucuronide,DFIUUCDSSKATFP-UHFFFAOYSA-N
Naringenin 5-O-glucuronide,ZTQGTBHHQGGBSV-UHFFFAOYSA-N
Naringenin 7-O-glucuronide,BDCRTIDKZGEVEN-UHFFFAOYSA-N
Naringin,DFPMSGMNTNDNHN-UHFFFAOYSA-N
Neohesperidin,ARGKVCXINMKCAZ-UHFFFAOYSA-N
Isorhamnetin,IZQSVPBOUDKVDZ-UHFFFAOYSA-N
Isorhamnetin 3-O-glucoside,CQLRUIIRRZYHHS-UHFFFAOYSA-N
Isorhamnetin 3-O-glucuronide,VVZWHOMBDMMRSC-UHFFFAOYSA-N
Isorhamnetin 4'-O-glucuronide,NCHMCZDLVWDQLC-UHFFFAOYSA-N
Kaempferol,IYRMWMYZSQPJKC-UHFFFAOYSA-N
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N
Quercetin 3'-O-glucuronide,LBJLXDMWOKJIPQ-UHFFFAOYSA-N
Quercetin 3'-sulfate,OSCLBBUATYLBQA-UHFFFAOYSA-N
"Quercetin 3,4'-O-diglucoside",RPVIQWDFJPYNJM-UHFFFAOYSA-N
Quercetin 3-O-glucoside,OVSQVDMCBVZWGM-UHFFFAOYSA-N
Quercetin 3-O-glucuronide,DUBCCGAQYVUYEU-UHFFFAOYSA-N
Quercetin 3-O-rutinoside,IKGXIBQEEMLURG-UHFFFAOYSA-N
Quercetin 4'-O-glucuronide,OUQZCILJSVDJFB-UHFFFAOYSA-N
"2',7-Dihydroxy-4',5'-dimethoxyisoflavone",UYOJEKMKWXYOEQ-UHFFFAOYSA-N
2'-Hydroxyformononetin,XKHHKXCBFHUOHM-UHFFFAOYSA-N
2-Dehydro-O-desmethylangolensin,MPNKZWIUITZJCR-UHFFFAOYSA-N
"3',4',5,7-Tetrahydroxyisoflavanone",DYLLIDCIKLUGBZ-UHFFFAOYSA-N
"3',4',7-Trihydroxyisoflavan",BXUZHRKORIBRMQ-UHFFFAOYSA-N
