Clostridium innocuum
Clostridium leptum
Clostridium methoxybenzovorans
Clostridium methylpentosum
Tyzzerella nexilis
Clostridium paraputrificum
Clostridium perfringens
Erysipelatoclostridium ramosum
Clostridium saccharogumia
Clostridium saccharoperbutylacetonicum
Clostridium sartagoforme
Clostridium scindens
Paeniclostridium sordellii
Clostridium sp.
Clostridium sp.
Clostridium sp.
Clostridium sp.
Clostridium sp.
Clostridium spiroforme
Clostridium sporogenes
Clostridium sporosphaeroides
Acetoanaerobium sticklandii
Clostridium symbiosum
Clostridium symbiosum
Clostridium symbiosum
Clostridium tyrobutyricum
Clostridium viride
Collinsella aerofaciens
Collinsella intestinalis
Collinsella stercoris
Collinsella tanakaei
Comamonas testosteroni
Coprobacillus sp.
Coprobacillus sp.
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium aurimucosum
Corynebacterium durum
Corynebacterium glucuronolyticum
Corynebacterium kroppenstedtii
Corynebacterium propinquum
Corynebacterium striatum
Corynebacterium tuberculostearicum
Corynebacterium ulcerans
Corynebacterium ureicelerivorans
Cronobacter sakazakii
Cryptobacterium curtum
Curtobacterium flaccumfaciens
Delftia acidovorans
Dermacoccus nishinomiyaensis
Desulfovibrio desulfuricans
Desulfovibrio piger
Desulfovibrio sp.
Dialister invisus
Dialister succinatiphilus
Dietzia cinnamea
Dorea formicigenerans
Dorea longicatena
Dyadobacter beijingensis
Dyadobacter fermentans
Dysgonomonas gadei
Edwardsiella tarda
Edwardsiella tarda
Eggerthella lenta
Eggerthella sp.
Eggerthella sp.
Eggerthia catenaformis
Eikenella corrodens
Klebsiella aerogenes
Enterobacter asburiae
Enterobacter cancerogenus
Enterobacter cloacae
Enterobacter hormaechei
Enterobacter hormaechei
Enterobacteriaceae bacterium
Enterococcus asini
Enterococcus avium
Enterococcus caccae
Enterococcus casseliflavus
Enterococcus cecorum
Enterococcus dispar
Enterococcus durans
Enterococcus faecalis
Enterococcus faecalis
Enterococcus faecalis
Enterococcus faecalis
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus hirae
Enterococcus phoeniculicola
Caldicellulosiruptor saccharolyticus
Enterococcus sp.
Erysipelotrichaceae bacterium
Erysipelotrichaceae bacterium
Escherichia albertii
Escherichia albertii
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia coli
Escherichia fergusonii
Atlantibacter hermannii
Escherichia sp.
Escherichia sp.
Escherichia sp.
Holdemanella biformis
Eubacterium brachy
Eubacterium cellulosolvens
Faecalitalea cylindroides
Agathobaculum desmolans
Absiella dolichum
Eubacterium eligens
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Eubacterium limosum
Eubacterium ramulus
Eubacterium rectale
Eubacterium rectale
Eubacterium saphenum
Eubacterium siraeum
Eubacterium siraeum
Eubacterium sulci
Eubacterium ventriosum
Exiguobacterium aurantiacum
Faecalibacterium cf.
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii
Faecalibacterium prausnitzii
Filifactor alocis
Finegoldia magna
Flavonifractor plautii
Fusobacterium gonidiaformans
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium periodonticum
Fusobacterium russii
Fusobacterium nucleatum
Fusobacterium ulcerans
Fusobacterium varium
Gemella haemolysans
Gemella morbillorum
Gemella sanguinis
Gemella sanguinis
Geobacillus stearothermophilus
Geobacillus vulcani
Gordonia rubripertincta
Gordonia terrae
Gordonia terrae
Gordonibacter pamelaeae
Granulicatella adiacens
Granulicatella elegans
Grimontia hollisae
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus sputorum
Hafnia alvei
Klebsiella pneumoniae
Halococcus morrhuae
Helicobacter bilis
Helicobacter canadensis
Helicobacter cinaedi
Helicobacter pullorum
Helicobacter pylori
Helicobacter winghamensis
Holdemania filiformis
Kallipyga massiliensis
Kandleria vitulina
Kingella oralis
Klebsiella michiganensis
Klebsiella pneumoniae
Klebsiella sp.
Kluyvera ascorbata
Kocuria palustris
Kocuria rhizophila
Kurthia massiliensis
Kytococcus sedentarius
Lachnospira multipara
Lachnospiraceae bacterium
Lachnospiraceae bacterium
Lactobacillus acidophilus
Lactobacillus acidophilus
Lactobacillus amylolyticus
Lactobacillus amylovorus
Lactobacillus animalis
Lactobacillus antri
Lactobacillus brevis
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus paracasei
Lactobacillus casei
Lactobacillus coleohominis
Lactobacillus coryniformis
Lactobacillus crispatus
Lactobacillus curvatus
Lactobacillus delbrueckii
Lactobacillus delbrueckii
Lactobacillus fermentum
Lactobacillus fermentum
Lactobacillus gasseri
Lactobacillus gastricus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus hilgardii
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus johnsonii
Lactobacillus mucosae
Lactobacillus oris
Lactobacillus paracasei
Lactobacillus paracasei
Lactobacillus pentosus
Lactobacillus plantarum
Lactobacillus plantarum
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus reuteri
Lactobacillus reuteri
Lactobacillus reuteri
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus salivarius
Lactobacillus ultunensis
Lactobacillus vaginalis
Lactococcus garvieae
Lactococcus lactis
Lactococcus raffinolactis
Laribacter hongkongensis
Lautropia mirabilis
Leminorella grimontii
Leptotrichia buccalis
Leuconostoc lactis
Leuconostoc gelidum
Leuconostoc lactis
Leuconostoc mesenteroides
Listeria grayi
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Listeria monocytogenes
Lysinibacillus fusiformis
Lysinibacillus sphaericus
Marvinbryantia formatexigens
Megamonas funiformis
Megamonas hypermegale
Megasphaera elsdenii
Candidatus Melainabacteria
Mesorhizobium japonicum
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanomassiliicoccus luminyensis
Methanosphaera stadtmanae
Methylobacterium mesophilicum
Methylorubrum populi
Methylobacterium radiotolerans
Methyloversatilis universalis
Methyloversatilis universalis
Microbacterium gubbeenense
Microbacterium oleivorans
Microbacterium paraoxydans
Micrococcus luteus
Micromonospora aurantiaca
Mitsuokella jalaludinii
Mitsuokella multacida
Mobiluncus curtisii
Mogibacterium timidum
Moraxella catarrhalis
Morganella morganii
Mycobacterium avium
Mycolicibacterium fortuitum
Mycoplasma hominis
Mycoplasma pneumoniae
Neisseria cinerea
Neisseria elongata
Neisseria flavescens
Neisseria macacae
Neisseria mucosa
Neisseria subflava
Nevskia ramosa
Oceanobacillus sp.
Ochrobactrum anthropi
Ochrobactrum intermedium
Odoribacter laneus
Odoribacter splanchnicus
Olsenella profusa
Olsenella uli
Oribacterium sinus
Oxalobacter formigenes
Oxalobacter formigenes
Paenibacillus alvei
Paenibacillus barengoltzii
Paenibacillus daejeonensis
Paraburkholderia graminis
Paenibacillus lactis
Pantoea agglomerans
Parabacteroides distasonis
Parabacteroides goldsteinii
Parabacteroides gordonii
Parabacteroides johnsonii
Parabacteroides merdae
Parabacteroides sp.
Paracoccus yeei
Paraprevotella clara
Paraprevotella xylaniphila
Parasutterella excrementihominis
Parvimonas micra
Pediococcus acidilactici
Pediococcus acidilactici
Pediococcus pentosaceus
Peptoniphilus harei
Peptoniphilus indolicus
Peptoniphilus lacrimalis
Peptoniphilus timonensis
Peptostreptococcus anaerobius
Peptostreptococcus stomatis
Phascolarctobacterium succinatutens
Plesiomonas shigelloides
Porphyromonas asaccharolytica
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas somerae
Porphyromonas uenonis
Porphyromonas uenonis
Prevotella albensis
Prevotella bivia
Prevotella brevis
Prevotella bryantii
Prevotella bryantii
Prevotella buccae
Prevotella conceptionensis
Prevotella copri
Prevotella corporis
Prevotella denticola
Prevotella denticola
Prevotella disiens
Prevotella disiens
Prevotella enoeca
Prevotella intermedia
Prevotella intermedia
Prevotella loescheii
Prevotella melaninogenica
Prevotella nanceiensis
Prevotella nigrescens
Prevotella oralis
Prevotella pallens
Prevotella ruminicola
Prevotella salivae
Prevotella shahii
Prevotella stercorea
Prevotella timonensis
Prevotella timonensis
Prevotella veroralis
Acidpropionibacterium acidipropionici
Cutibacterium acnes
Cutibacterium avidum
Propionibacterium freudenreichii
Cutibacterium granulosum
Acidpropionibacterium jensenii
Pseudopropionibacterium propionicum
Proteus mirabilis
Proteus penneri
Providencia alcalifaciens
Providencia rettgeri
Providencia rustigianii
Providencia stuartii
Pseudobutyrivibrio ruminis
Pseudoflavonifractor capillosus
Pseudomonas aeruginosa
Pseudomonas alcaliphila
Pseudomonas fluorescens
Pseudomonas monteilii
Pseudomonas monteilii
Pseudomonas nitroreducens
Pseudomonas oleovorans
Pseudomonas putida
Pseudomonas stutzeri
Pseudoramibacter alactolyticus
Pyramidobacter piscolens
Ralstonia pickettii
Raoultella planticola
Rhodococcus hoagii
Rhodococcus hoagii
Rhodococcus erythropolis
Rhodococcus rhodochrous
Roseburia hominis
Roseburia intestinalis
Roseburia inulinivorans
Roseomonas mucosa
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rudanella lutea
Ruminococcaceae bacterium
Ruminococcus albus
Ruminococcus bicirculans
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus champanellensis
Ruminococcus flavefaciens
Ruminococcus flavefaciens
Ruminococcus gauvreauii
Ruminococcus gnavus
Ruminococcus lactaris
Blautia obeum
Ruminococcus sp.
Ruminococcus sp.
Ruminococcus torques
Ruminococcus torques
Salmonella enterica
Scardovia inopinata
Schlesneria paludicola
Selenomonas ruminantium
Chania multitudinisentens
Serratia liquefaciens
Serratia marcescens
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Silanimonas lenta
Slackia exigua
Slackia piriformis
Solobacterium moorei
Solobacterium moorei
Sphingobacterium paucimobilis
Spirosoma linguale
Staphylococcus arlettae
Staphylococcus aureus
Staphylococcus capitis
Staphylococcus capitis
Staphylococcus capitis
Staphylococcus cohnii
Staphylococcus epidermidis
Staphylococcus equorum
Staphylococcus haemolyticus
Staphylococcus hominis
Staphylococcus intermedius
Staphylococcus lugdunensis
Staphylococcus pasteuri
Staphylococcus pettenkoferi
Staphylococcus saprophyticus
Staphylococcus sciuri
Staphylococcus simulans
Staphylococcus vitulinus
Staphylococcus warneri
Staphylococcus xylosus
Staphylococcus xylosus
Stenotrophomonas maltophilia
Stenotrophomonas rhizophila
Candidatus Stoquefichus
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus australis
Streptococcus constellatus
Streptococcus constellatus
Streptococcus cristatus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gallolyticus
Streptococcus gordonii
Streptococcus infantarius
Streptococcus infantis
Streptococcus intermedius
Streptococcus lutetiensis
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus parauberis
Streptococcus peroris
Faecalicoccus pleomorphus
Streptococcus pneumoniae
Streptococcus pseudopneumoniae
Streptococcus pyogenes
Streptococcus salivarius
Streptococcus sanguinis
Streptococcus sp.
Streptococcus sp.
Streptococcus sp.
Streptococcus thermophilus
Streptococcus thoraltensis
Streptococcus uberis
Streptococcus vestibularis
Subdoligranulum variabile
Succinatimonas hippei
Succinivibrio dextrinosolvens
Saccharolobus solfataricus
Sutterella parvirubra
Sutterella wadsworthensis
Tannerella forsythia
Tatumella ptyseos
Trabulsiella guamensis
Tropheryma whipplei
Trueperella pyogenes
Ureaplasma parvum
Ureaplasma urealyticum
Ureibacillus thermosphaericus
Varibaculum cambriense
Veillonella atypica
Veillonella dispar
Veillonella parvula
Veillonella seminalis
Veillonella sp.
Veillonella sp.
Vibrio fluvialis
Vibrio fluvialis
Vibrio fluvialis
Vibrio furnissii
Vibrio mimicus
Vibrio parahaemolyticus
Weissella cibaria
Weissella confusa
Weissella paramesenteroides
Yersinia bercovieri
Yersinia enterocolitica
Yersinia frederiksenii
Yersinia kristensenii
Yersinia pseudotuberculosis
Yersinia rohdei
Yokenella regensburgei
